ID,ID COLLEZIONISTA,Nazione,Città,Collezionista,Luogo,# inv.,da,a,Modalità di Acquisizione,Nazione 2,Città 2,Venditore,Nome,Note,Archivio,Segnatura,Documento
DE 090,152.0,Germania,Potsdam,Johann Gottlob Samuel Rösel,Missing Value,Missing Value,1816-1817,1843,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 091,153.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donato a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 091,154.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferito nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 092,155.0,Germania,Potsdam,Johann Gottlob Samuel Rösel,Missing Value,Missing Value,1816-1817,1843,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 093,156.0,Germania,Potsdam,Johann Gottlob Samuel Rösel,Missing Value,Missing Value,1816-1817,1843,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 094,157.0,Germania,Potsdam,Friedrich Wilhelm Ternite,Missing Value,Missing Value,post 1825,1826-1827,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,Donata alla raccolta statale berlinese nel 1826-1827 e quindi confluita negli Staatliche Museen zu Berlin - Antikensammlung nel 1830,Missing Value,Missing Value,Missing Value
DE 095,158.0,Germania,Berlino,Missing Value,Missing Value,Missing Value,post 1790,1830,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 096,159.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 097,160.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 098,161.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 099,162.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 100,163.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 101,164.0,Germania,Berlino,Missing Value,Missing Value,Missing Value,post 1790,1830,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 102,165.0,Germania,Berlino,Missing Value,Missing Value,Missing Value,post 1790,1830,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 103,166.0,Germania,Berlino,Missing Value,Missing Value,Missing Value,post 1790,1830,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 104,167.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 104,168.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 105,169.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 105,170.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 106,171.0,Germania,Potsdam,Johann Gottlob Samuel Rösel,Missing Value,Missing Value,1816-1817,1843,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 107,172.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 107,173.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 108,174.0,Italia,Pompei,Ferdinando I di Borbone,Scavi di Pompei,Missing Value,1822,1822,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Donata a Federico Guglielmo III da Francesco I di Borbone – figlio di Ferdinando I di Borbone – in veste di duca di Calabria   ,Napoli ASN,"Ministero degli Affari Interni, Inventario II, “Antichità e belle arti”, b. 1978, fasc. 29",Missing Value
DE 108,175.0,Germania,Berlino,Federico Guglielmo III,königlichen Antikenkabinett,Missing Value,1822,1830,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Trasferita nell'istituto attualmente chiamato Altes Museum, costruito direttamente di fronte al Berliner Stadtschloss e aperto nel 1830 ",Missing Value,Missing Value,Missing Value
DE 109,176.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 110,177.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 111,178.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 112,179.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 113,180.0,Germania,Berlino,Wilhelm Johann Karl Zahn,casa,Missing Value,1825 (?),1869,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DE 114,181.0,Germania,Berlino,Missing Value,Missing Value,Missing Value,post 1790,1830,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 001,182.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 001,183.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 001,184.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento ,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 002,185.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 002,186.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 002,187.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento ,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 003,188.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820 (?),1844,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 003,189.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento ,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 004,190.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 004,191.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 004,192.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento ,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 005,193.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 005,194.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 005,195.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 006,196.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 006,197.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 006,198.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 007,199.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 007,200.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 007,201.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 008,202.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 008,203.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 008,204.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 009,205.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 009,206.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 009,207.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 010,208.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 010,209.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 010,210.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 011,211.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 011,212.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 011,213.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 012,214.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 012,215.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 012,216.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 013,217.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820 (?),1844,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 013,218.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 014,219.0,Danimarca,Copenaghen,Hans West,Missing Value,Missing Value,1810 (?),1811,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 014,220.0,Danimarca,Copenaghen,Julius Frederik Christian West ,Missing Value,Missing Value,1811,1813,Eredità,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 014,221.0,Danimarca,Copenaghen,Federico VI,Kongens Kunstkammer,Missing Value,1813,1825,Asta,Danimarca,Copenaghen,Missing Value,Missing Value,"Federico VI acquistò il reperto all'asta della collezione West – tenuta il 23 aprile 1813 –, aggiudicandosi per 3 rigsdaler e 5 mark il lotto che lo ricomprendeva insieme a DK 015 e a un terzo frammento pittorico andato poi disperso",Missing Value,Missing Value,Missing Value
DK 014,222.0,Danimarca,Copenaghen,Missing Value,Den Kongelige Malerisamling,Missing Value,1826,1844,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 014,223.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 015,224.0,Danimarca,Copenaghen,Hans West,Missing Value,Missing Value,1810 (?),1811,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 015,225.0,Danimarca,Copenaghen,Julius Frederik Christian West ,Missing Value,Missing Value,1811,1813,Eredità,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 015,226.0,Danimarca,Copenaghen,Federico VI,Kongens Kunstkammer,Missing Value,1813,1825,Asta,Danimarca,Copenaghen,Missing Value,Missing Value,"Federico VI acquistò il reperto all'asta della collezione West – tenuta il 23 aprile 1813 –, aggiudicandosi per 3 rigsdaler e 5 mark il lotto che lo ricomprendeva insieme a DK 014 e a un terzo frammento pittorico andato poi disperso",Missing Value,Missing Value,Missing Value
DK 015,227.0,Danimarca,Copenaghen,Missing Value,Den Kongelige Malerisamling,Missing Value,1826,1844,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 015,228.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
DK 016,229.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 016,230.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1848,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 016,231.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1851,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Il reperto pervenne nell'Oldsagskabinettet – avente sede nel Christiansborg Slot – nel 1851, dunque tre anni dopo la morte di Cristiano VIII nel 1848",Missing Value,Missing Value,Missing Value
DK 017,232.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 017,233.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1848,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 017,234.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1851,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Il reperto pervenne nell'Oldsagskabinettet – avente sede nel Christiansborg Slot – nel 1851, dunque tre anni dopo la morte di Cristiano VIII nel 1848",Missing Value,Missing Value,Missing Value
DK 018,235.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 018,236.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1848,Dono,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 018,237.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1851,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,"Il reperto pervenne nell'Oldsagskabinettet – avente sede nel Christiansborg Slot – nel 1851, dunque tre anni dopo la morte di Cristiano VIII nel 1848",Missing Value,Missing Value,Missing Value
DK 019,238.0,Italia,Napoli,Ferdinando I di Borbone,Missing Value,Missing Value,1820 (?),1820,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 019,239.0,Danimarca,Copenaghen,Cristiano Federico (poi Cristiano VIII),Amalienborg,Missing Value,1820,1844,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
DK 019,240.0,Danimarca,Copenaghen,Missing Value,Oldsagskabinettet,Missing Value,1844,1853,Trasferimento,Missing Value,Missing Value,Missing Value,Missing Value,L'Oldsagskabinettet aveva sede nel Christiansborg Slot,Missing Value,Missing Value,Missing Value
FR 001,241.0,Francia,Parigi,"Anne-Claude-Philippe de Tubières, de Grimoard, de Pestels, de Lévis, conte di Caylus",Missing Value,Missing Value,ante 1756,post 1762,Furto,Missing Value,Missing Value,Missing Value,Missing Value,"Successivamente dono o lascito a Luigi XV, il reperto è quindi confluito nella raccolta dell’attuale département des Monnaies, médailles et antiques della Bibliothèque nationale de France a Parigi ",Missing Value,Missing Value,Missing Value
FR 002,242.0,Italia,Portici,Ferdinando I di Borbone,Herculanense Museum,Bayardi 1775,1785,1806,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Tagliata dal contesto originario all'inizio di novembre 1789 e quindi spostata nell'Herculanense Museum,Missing Value,Missing Value,Missing Value
FR 002,243.0,Italia,Portici,Giuseppe Bonaparte,Herculanense Museum,Bayardi 1775,1806,1808,Successione,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
FR 002,244.0,Italia,Portici,Gioacchino Murat,Herculanense Museum,Bayardi 1775,1808,1815,Successione,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
FR 002,245.0,Italia,Portici,Ferdinando I di Borbone,Herculanense Museum,Arditi 1497,1815,1825,Successione,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Napoli ASMANN,"III C5, 8",Missing Value
FR 002,246.0,Italia,Portici,Francesco I di Borbone,Herculanense Museum,Arditi 1497,1825,1826,Successione,Missing Value,Missing Value,Missing Value,Missing Value,"Inviata al Palazzo Reale di Napoli il 31 gennaio 1826 per ordine reale, al fine di essere donato a Carlo X",Napoli ASMANN,"III C5, 8",Missing Value
FR 002,246.0,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Parigi AN,"Archives des musées nationaux - Registres des Collection, répertoires et inventaires (série *DD), Commandes, acquisitions, dons, 20150162/162 ","Règne de Charles X: musées royaux (peinture, dessins, sculptures) (1824-1831), Tome 2, 1824-1831, p. 79, n. 70 [68]"
FR 003,247.0,Italia,Portici,Ferdinando I di Borbone,Herculanense Museum,Missing Value,1767,1802,Scavo,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Napoli ASN,"Ministero degli Affari Esteri, b. 4293, fasc. s.n.",Missing Value
FR 003,248.0,Francia,Rueil-Malmaison,Napoleone Bonaparte,Château de Malmaison ,Missing Value,1802,1809,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Imbarcato a Napoli come parte del cadeau napoleonico da spedire in Francia, il manufatto giunse prima a Tolone il 23 ottobre 1802, poi a Parigi il 28 aprile 1803 e infine nel castello di Malmaison il 6 maggio 1803.

Divorzio di Napoleone Bonaparte con Giuseppina di Beauharnais nel 1809 ",Missing Value,Missing Value,Missing Value
FR 003,249.0,Francia,Rueil-Malmaison,Giuseppina di Beauharnais,Château de Malmaison ,1477,1802,1814,Dono,Missing Value,Missing Value,Missing Value,Missing Value,"Divorzio di Giuseppina di Beauharnais con Napoleone Bonaparte nel 1809.

Nel 1814 il reperto fu valutato 60 franchi nell'inventario di Marin-Alexandre Lenoir",Parigi BhVP,ms. CP 5336,"Marin-Alexandre Lenoir, Catalogue historique et Raisonné des Antiquités et des marbres du Château Impérial de Malmaison; ordonné par Sa Majesté l’Imperatrice et Reine à M.r Alexandre Lenoir, admnistrateur du musée des monumens français &c &c. le 28, octobre 1809, 1809, p. 34, n. 150 [da Ercolano, sic]"
FR 003,249.0,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Parigi AN,"Minutes et répertoires du notaire André Claude Noël, 27 août 1805 - 25 juin 1822 (étude LXVIII), Minutes de André Claude Noël, MC/ET/LXVIII/776","Inventaire après décès de l’impératrice Joséphine. 1814, 8 juin, 1814, p. 250, n. 1477 [da Ercolano, sic]"
FR 003,250.0,Francia,Rueil-Malmaison,Eugenio di Beauharnais,Château de Malmaison ,Missing Value,1814,1816,Eredità,Missing Value,Missing Value,Missing Value,Missing Value,Valutato 120 franchi ,Rueil-Malmaison AMMB-P,M.M.2010.16.1,"Etat de partage des Objets d’Artie & Antiquités dela Malmaison. Lot de S. A. Le Prince Eugène, [1814], n. 170 [da Ercolano, sic]"
FR 003,251.0,Francia,Parigi,Edme-Antoine Durand,Missing Value,Missing Value,1816,ante 1835,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value,Missing Value
FR 003,252.0,Francia,Parigi,James-Alexandre de Pourtalès-Gorgier,hôtel de Pourtalès - 7 rue Tronchet,589,ante 1835,1855,Acquisto,Missing Value,Missing Value,Missing Value,Missing Value,"Prima di traslocare nel hôtel de Pourtalès (7 rue Tronchet - Parigi) fatto costruire nel 1837-1839, James-Alexandre de Pourtalès-Gorgier risiedeva nel hôtel de La Fare (14 place Vendôme - Parigi)",Parigi BnF - dEp,4-AA-217,"[Léon-Jean-Joseph Dubois], Antiquités et Curiosités, [1840], Bronzes Grecs, Romains, Gaulois n. 24 [da Ercolano, sic] "
